16980	3.66
16570	3.68
11764	3.6
17247	3.36
13622	3.2
11607	3
16951	3.75
17678	3.15
16634	3.11
16664	4
15324	3.27
16980	3.51
14831	3.9
12130	3.55
17399	3.64
15182	3.12
15428	3.88
14033	3.83
18128	3.51
17922	3.62
12341	3.9
16997	3.66
17765	3.06
12889	3.95
14937	3.07
14834	3.97
17052	3.49
11607	3.93
10389	3.04
11315	3.86
11095	3.48
14929	3.77
18035	3.77
17259	3.3
14370	3.54
15325	3.55
13790	3.56
12932	3.32
16822	4
11932	3.26
12075	3.45
18050	3.3
13658	3.1
12215	3.58
18186	3.01
15431	3.98
12444	3.53
13304	3.2
10998	3.88
12176	3.48
